Id,SalePrice
1461,164426.95813242116
1462,174086.27192470827
1463,179802.42996897353
1464,184188.01076098092
1465,191557.36620843722
1466,182859.658413408
1467,177996.0142826281
1468,174825.5390164057
1469,182642.80062436327
1470,159860.78207923003
1471,188469.02999150413
1472,160579.8033977548
1473,156230.41186727132
1474,171193.2263573249
1475,166640.07092972708
1476,257476.49925954686
1477,210821.05973199056
1478,229820.92697777497
1479,215133.35316119684
1480,262434.4970492725
1481,230791.00111050878
1482,192747.40341931325
1483,180778.4319191235
1484,174620.0258241395
1485,176951.5165991909
1486,177831.56776017832
1487,230956.1955675427
1488,209996.43015175234
1489,188256.23474649186
1490,180756.40889250432
1491,184395.6353864656
1492,158273.92568482368
1493,186167.33743803238
1494,221494.96140103575
1495,220982.1492596574
1496,200949.3456942126
1497,177879.13559615402
1498,169171.83857028457
1499,176824.81592817363
1500,158992.14738179
1501,169202.4633050113
1502,175726.20244287737
1503,220837.43002031316
1504,204749.00377996752
1505,196181.30473872376
1506,184981.62801381495
1507,190126.07639981454
1508,186533.46223169638
1509,179356.25182106043
1510,174148.8339674121
1511,174396.16893493696
1512,181091.23830109191
1513,184385.4887079494
1514,185750.4113130879
1515,178844.65343500386
1516,184913.3693614849
1517,172782.90719020736
1518,175427.03993945118
1519,196588.7278158233
1520,171410.15647309285
1521,172620.9537834738
1522,187104.56661570715
1523,155100.4836731694
1524,164892.31967681463
1525,165499.62342753587
1526,166525.74685546846
1527,156036.07414553908
1528,156453.18139341884
1529,173530.44803771397
1530,180247.92928984234
1531,165470.8829586276
1532,151482.52631090998
1533,174854.97262341398
1534,153920.28234761592
1535,175353.17491875406
1536,162589.63905901727
1537,149043.22562252198
1538,188618.17346405203
1539,208262.49561924278
1540,175556.35889536157
1541,178857.3340095411
1542,174849.76474017798
1543,201881.9117464296
1544,141450.81944133822
1545,151392.24328801475
1546,153745.5482307819
1547,168940.44949944507
1548,164743.16615310064
1549,152355.84268589146
1550,166248.27545099225
1551,162820.30886980367
1552,175277.70928264954
1553,174845.8738338094
1554,154009.56101508343
1555,184048.98124732217
1556,157064.23058252304
1557,172470.21166300404
1558,148068.2564972825
1559,168034.21517884263
1560,169788.12630540694
1561,179406.87461003437
1562,162471.5487645972
1563,162871.8686261383
1564,176629.7644750597
1565,177782.35046305414
1566,200467.9263051747
1567,149782.53475982952
1568,193010.56151691117
1569,171621.42275863586
1570,165730.0483561353
1571,171832.8808697567
1572,172226.5633852528
1573,206001.95730821913
1574,169925.81117014718
1575,195665.83224166813
1576,186068.48172571798
1577,184813.25466642497
1578,178539.17921244036
1579,167712.55016130648
1580,185937.36248563428
1581,166903.92336363747
1582,163121.1207624355
1583,238983.580085824
1584,200491.9858143824
